id_kasus,id_klien,id_pengacara,id_waktu,jenis_kasus,sub_jenis,teks_asli,durasi_hari,biaya_kasus,skor_kepuasan,id_lokasi
38,138,212,348,Hak Cipta,Plagiarisme,Perkara ini melibatkan Plagiarisme dengan nilai sengketa mencapai Rp 81291936.,41,23989394,3,7
39,122,206,311,Hak Cipta,Plagiarisme,"Dalam kasus Plagiarisme, terdakwa dituntut dengan hukuman maksimal menurut KUHP.",97,24567506,3,2
40,130,215,382,Perceraian,Cerai Gugat,Terdakwa diduga melakukan Cerai Gugat terhadap korban di wilayah Samarinda.,42,20611308,5,4
41,187,218,321,Pidana,Penggelapan,Firma hukum menerima kasus baru terkait Penggelapan dengan durasi penanganan lebih dari 54 hari.,54,19237445,5,9
42,159,210,326,Hak Cipta,Plagiarisme,"Perselisihan terjadi antara dua pihak mengenai Plagiarisme, dan proses mediasi sedang berlangsung.",71,17796462,10,2
43,146,219,338,Perceraian,Cerai Gugat,Perkara ini melibatkan Cerai Gugat dengan nilai sengketa mencapai Rp 98346110.,116,14210033,1,10
44,173,202,378,Ketenagakerjaan,PHK Sepihak,Sidang kasus PHK Sepihak telah ditunda karena ketidakhadiran saksi kunci di Tomohon.,46,12348572,4,9
45,180,209,387,Perdata,Sengketa Tanah,Terdakwa diduga melakukan Sengketa Tanah terhadap korban di wilayah Banjar.,22,15366067,8,10
46,105,219,347,Perdata,Sengketa Tanah,Perkara ini melibatkan Sengketa Tanah dengan nilai sengketa mencapai Rp 53851498.,47,10893502,4,5
47,117,218,347,Perceraian,Cerai Gugat,"Dalam kasus Cerai Gugat, terdakwa dituntut dengan hukuman maksimal menurut KUHP.",31,14903303,6,2
48,115,215,310,Perdata,Sengketa Tanah,Sidang kasus Sengketa Tanah telah ditunda karena ketidakhadiran saksi kunci di Pasuruan.,38,8030061,7,4
49,102,209,369,Pidana,Penggelapan,Perkara ini melibatkan Penggelapan dengan nilai sengketa mencapai Rp 45186708.,57,17464587,2,7
50,187,208,361,Pidana,Penipuan,"Perselisihan terjadi antara dua pihak mengenai Penipuan, dan proses mediasi sedang berlangsung.",81,7121211,8,8
